@English@|@Laotian (romanized)@
@sputum@|@sá leid@
@spy@|@cha ra bou rout, cha ra zon, nāk seub, ngeng hu, phu seup, sây seuk, xeuy, xom@
@spy on@|@chop nam, khoy sa kot hoy tam, mong hen, mory, naem, sing, sord naem, xom berng@
@sqat@|@kaiv@
@squadron leader@|@ná: var ar kard tri:@
@squander@|@phan@
@square@|@cha tu lat, chat tu rat, sī: liem mon thon, sī: liem mon thon, sī: liem mon thon, sī: liem mon thon@
@square basket at each end of a carrying pole for carrying heavy articles@|@sá lek@
@square basket for carrying heavy objects@|@să: laek, să: laek@
@square container made of banana leaves holding an offering@|@ká thong@
@square meter@|@maet ta ta lang, maet ta ta lang mon thon@
@square ramie or cord net for catching fish by dipping@|@dang@
@squared cloth@|@pha lay@
@squared timber@|@may liam@
@square-ry\ule used to measure right angles@|@khang khuay@
@squat@|@kuay, nāng yong nhor, phap phaep, por, torp mop, yong nyor@
@squeeze@|@bi, biat, biat si, bip, heng hat, hit, kha mip, kha yam, nī khor, nik kha ha, nuad, pá ri mad@
@squeeze money from@|@hit ao ngern@
@squeeze one’s hand@|@bip meu@
@squeeze out water@|@hit nam@
@squim@|@kádoukkadik@
@squint@|@ta lua@
@squint-eyed@|@seung@
@squirm@|@bit pay bit ma, din, duk dik@
@squirming@|@dan dan@
@squirrel@|@ka hok, ka nay, kájon@
@squirrel trap@|@khuang@
@squirt@|@si:t@
@Sri Lanka@|@sing hon@
@stab@|@deak, pák, pák, thaeng, thaeng chon sot, theng@
@stab in the back@|@lorp kard, lorp kard thang lang@
@stab to death@|@thaeng chon tai, thaeng tai@
@stab with a dagger@|@thaeng duay dert laem@
@stab with a knife@|@thaeng duay mit@
@stab with a spear@|@thaeng hok@
@stability@|@fang fa, Man gnun, sá thien la pharp, săn thid@
@stabilize@|@het hay man khong@
@stable@|@bor pian paeng, kho san, khok mar, nyang nyeun, sá thă: phon, sá thă: von, sá thi ra, sá thien, tay to, thun thiang, vā xa@
@stable fixed@|@thu va@
@stable; corral@|@kok ma@
@stack@|@yong thap kan@
@stack cartridges@|@tap luk peun@
@stack of paper@|@tap chiay@
@stack plates@|@xon xam@
@stadium@|@dern ki la, kaeng, sá nă:m ki lar, sá nă:m ki lar, sá narm, sá narm, sá narm ki lar, sá narm ki lar@
@staff sergeant@|@cha ti@
@stag@|@mi kha@
@stag beetle@|@meng sa kham@
@stage@|@vé: lá: lin la khon, vé: thi:, xan, xan ton@
@stage of a journey@|@nyan@
@stage of service in a pagoda for more than ten years@|@the ra phum@
@stage or degree in the attainment of sanctity@|@sŏ: dar pard ti mack@
@stagger@|@thao, xe, xe xuan, xo xe, xuan xe@
@stagger by reason of fatigue@|@song saeng@
@staggering@|@vae@
@Staggering@|@pae@
@stagnant@|@nàm khung@
@stain@|@hoy dang, hoy peun, ma la neun theun, peun per, sá nim, sá nim@
@stained@|@dang dao, ka dang ka dao, mua mong@
@stair@|@lù:k khân day@
@stair railing@|@pha nak khan dai@
@stair upright@|@me khan day@
@stairs@|@khan dai, phan@
@stake@|@may lak, pha nan, sá tam@
@stake for supporting a vine@|@khang@
@stake prop@|@kham kok mai@
@stakes in gambling@|@derm phan@
@stalactite@|@nóm phar@
@stalagmite@|@nóm phar@
@stalk@|@khuan, lám ton@
@stallion@|@ma phu@
@stammer@|@pâ:k bor thong, pâ:k bor thong, pâ:k pham, pâ:k pham, pheum pham, pheum phom, vào ta kauk ta kark@
@stamp@|@cham, ka cham, mut tha, pá thub tar, ta cham, thap ta@
@stamp on@|@nyi, yam, yiap@
@stamp one’s feet@|@theup@
@stamp one’s foot@|@ka theup@
@stamped paper@|@phim luang@
@stand@|@kha tang, pham xay, thon yu dai@
@stand (baby)@|@tang khay@
@stand against@|@tang yeun@
@stand alone@|@tang tua kheun, tang tua kheun@
@stand aloof@|@pî:k tau, pî:k tau@
@stand and block the view@|@yeun bang@
@stand and watch@|@yeun berng@
@stand around@|@yeun lom@
@stand at attention@|@yeun khao thaev@
@stand at ease@|@yeun phak@
@stand before@|@yeun yu tong na@
@stand beside@|@khao nam@
@stand erect@|@yeun tua kong@
@stand guard@|@yeun yam@
@stand in a row@|@tang tua@
@stand in line@|@xap lap, yeun thaev@
@stand in pairs@|@yeun khu kan@
@stand in the light@|@yeun bang@
@stand in the middle of the road@|@yeun yu kang thang@
@stand in the rain@|@yeun tak phon@
@stand in the sun@|@yeun tak daet@
@stand in the way of@|@yeun khuang na@
@stand on tiptoe@|@ye, ye, yik yae, yik yi, ying nyae@
@stand side by side@|@yeun khu kan@
@stand still@|@yeun ning@
@stand straight@|@yeun khao thaev, yeun tua kong@
@stand the way@|@tang tha@
@stand together@|@yeun nam kan@
@stand up@|@lūk yeun kheun, sá thid, yeun, yeun kheun@
@stand up halfway@|@yo@
@stand up straight@|@yeun kong@
@stand watch@|@yeun yam@
@standard@|@baep sa bab, mat tha than, pá dark, thoung@
@standard language@|@pha sa kang@
@standard of conduct@|@á phī sa mar charn@
@standard of living@|@mat tha than kan khong sip@
@standard time@|@mat tha yam kan@
@standard typewriter@|@phim dit tang to, phim dit tang to@
@standardize@|@het hay pen bap diav kan@
@standard-sized book@|@sá bap pa cham hong sa moud@
@standing@|@pá cham karn, thi li@
@standing or remaining in place@|@chong phong@
@standing position@|@kan yeun@
@standing up@|@phi vi@
@standing upright@|@dor@
@stand-paper@|@ka dad say@
@star@|@da ra, dao, duang dao, ná:ng eik, nāk khad ta, nāk sard ta@
@star goodseberry@|@Mak gnom@
@star kite@|@vá:o chu lar@
@starboard and larboard@|@kap heu@
@starch@|@lóng paeng@
@stare@|@chong berng, keu ta, keung, keung ta, kong@
@stare as in a trance@|@ta leung pheung phert@
@stare at@|@ker berng@
@stare at vengfully@|@chong doy khuam a khat@
@stare back@|@sû: sai tar@
@stare in anger@|@kheung ta@
@stare to@|@keu ta sai@
@stare wide eyed@|@ti ta@
@stargazing@|@kan lung lek@
@staring eyes@|@ta xan@
@starlight@|@saeng dao@
@starnd on tiptoe@|@ying yi@
@start@|@pha derm, sá deud@
@start a fire@|@chut phai@
@start an engine@|@tit kheung chak@
@start and see@|@tit berng@
@start or light a fire@|@chut@
@start or operate an engine@|@dern kheung, dern kheung chak@
@start to do@|@lerm ler@
@start up@|@sá dùng tok chay@
@start up with fear@|@sá dùng tok chay yarn@
@startle by noise@|@chwat@
@startle someone by noise@|@chuat@
@startled@|@teun pha thay@
@starvation@|@să: ta ka phay, thup phik kha phay@
@starving@|@sây haeng, thon hua, thong khong@
@state@|@bork, dam rat, kao vian, lāt, rāt, rāta, sá phá: va, sá phá:p, sá thă: nā, tha laeng@
@state a grievance@|@horng thuk@
@state document@|@să:n tar@
@state of being@|@sá thă: nā@
@state of being a bonze@|@să: man@
@state of being paired@|@the va pha va@
@state of equilibrium@|@dun la ya phak@
@state of monk@|@phi khu phap@
@state of omniscience@|@săn phei xou dar@
@state of samadhi@|@sá má: thi@
@state of war@|@sá thă: nā karn song kharm@
@state one's wishes@|@sá daeng khuam pa song@
@state property@|@khon luang@
@state that@|@să: barn var@
@stateless@|@bor me meung@
@stately@|@sá ngar@
@statement@|@pá phod, tha laeng kan, vá: cá:@
@statement of project@|@kham tha leng na yo bay, kham tha leng na yo bay@
@static@|@sá thid@
@station@|@sá thă: ni:, sá thă:n@
@station in life@|@xá ta karm@
@station master@|@ná:y sa thar ni:@
@station sentries@|@vá:ng nharm@
@stationary@|@chia khien chot mai, chia khien nang seu, yū kap thi@
@stationery@|@kheuang khian@
@statistics@|@sá thi ti, sá thi ti sard@
@statistics department@|@kom sa thi ti@
@stattue of Buddha@|@phut hup@
@statue of cement or clay@|@hup pan@
@statue of the standing Buddha@|@tha vay ned@
@status@|@sá phá:p, tha na@
@status quo@|@sá phá:p derm@
@statute@|@lā biep@
@stay@|@may kham, pá thub, pham nak, sá thid, xao, xong pa thap, yu@
@stay a long time@|@yu herng@
@stay at a hotel@|@khao phak ho ten@
@stay calm@|@sá ngop ki ri ngar@
@stay closely to@|@mu@
@stay happy@|@hom yen@
@stay home@|@yu kap ban@
@stay in a hotel@|@khao phak hong haem@
@stay near the fire after giving a childbirth@|@yu phay@
@stay outside@|@yu nok@
@stay overnight@|@hang, phak heam@
@stay there@|@yu phun@
@stay unmoving@|@dak@
@stay up late@|@chong non derk@
@stay with@|@phak yu kap, yu kap@
@steadfastly@|@bor lot la@
@steady@|@á cha ra, man@
@steal@|@lāk, lāk ao, lāk lorp, lāk xab@
@steal a corpse@|@lāk sop@
@steal a glance at@|@phok bing@
@steal into@|@lorp khao pai@
@stealthily@|@yang lerk laep@
@steam@|@hom, lám thá:n, tun@
@steam box for cooking rice@|@muang@
@steam glutinous rice (rare)@|@chao naov, chao naov@
@steam mandarin rice (rare)@|@chao khao@
@steamed@|@sáp pi: nhar khou@
@steamed glutinous rice@|@khao neung@
@steamed rice@|@khao meu@
@steamroller@|@lōt bod tha non@
@steamship@|@kam phan phai@
@steatopygous@|@tuy a pae@
@steep@|@sŭ:ng xan, xae, xan, xó@
@steep slope@|@khoy xan@
@steer@|@ngua, ngua phu@
@steer a boat@|@khat aok, khat hang heua, khat khao, khat sak, khhat thay@
@steer a boat by atiller@|@khat thay@
@steering@|@phuang na lai@
@steersman@|@ná:y thai@
@stem@|@kan, khuan, lám ton@
@stem of banana leaves@|@kan tong@
@Sten machine gun@|@sá ten@
@stencil@|@ka dad kai@
@stentorian voice@|@sú ra sieng@
@step@|@bat yang, kao hot, kao hot, lù:k khân day@
@step across@|@yang kham@
@step back@|@kao@
@step by step@|@meu la kheun, thi la khan@
@step child adopted child@|@bun tham@
@step forward@|@kao haek@
@step into@|@nyang khao phai@
@step on@|@theup tin, yiap@
@step out from@|@nyang aok chak@
@step out of@|@nyang nyang long chak, nyang vang vat nyai@
@step role@|@bat kao@
@stepfather@|@phor na@
@Stephanta@|@thom pherng@
@stepmother@|@me na@
@stepmother or stepfather@|@nà:@
@sterful@|@pen nay@
@stern of boat@|@thay heu@
@stethoscope@|@kheuang kuat hang kay@
@stew@|@kaeng, sá tu:@
@stick@|@khone, mut kha ra, pák, pák, pák pam, pák pam, sor@
@stick for roasting@|@may phing@
@stick for separating cotton@|@may did fay@
@stick for separating cotton; vowel@|@may kong@
@stick gold leaf on@|@pit thong@
@stick in@|@sák, sák khao@
@stick in a neddle@|@dun@
@stick in one’s throat@|@tit khor@
@stick inside@|@nyeun khao phai@
@stick into@|@siep@
@stick lac@|@khang, khi khang@
@stick out@|@do, laep, nyeu aok phai@
@stick out on?s tongue@|@laep lin@
@stick out one's tongue@|@maep lin@
@stick price lebel@|@tit kha, tit la kha@
@stick tightly@|@pha neuk@
@stick up@|@tit pay@
@stick with@|@khá: kan@
@sticker@|@hup noy som lap pa dap@
@sticking far out@|@ko do@
@sticking out a little@|@kae dae@
@sticky rice@|@khao niav@
@sticky rice cooked In bamboo tube@|@khao lam@
@stiffen@|@kheng tua@
@still@|@kheuang kan, may tor kha yang, ning, ning ning, nyang@
@still air@|@lóm ngiep@
@still be not yet@|@nyang pen@
@still be useful@|@nyang pen pha nyot@
@still be worried about@|@nyang pen huang@
@still beautiful@|@nyang ngam nyu@
@still born child who causes its mother's death@|@lù:k phi: phai@
@still burning@|@nyang mai nyu, nyang mai nyu@
@still day light@|@nyang van nyu@
@still don’t have it@|@nyang bor dai theu@
@still eating@|@nyang kin nyu@
@still have problems@|@nyang pen ban ha nyu@
@still here@|@nyang nyu ni@
@still ill@|@nyang chep nyu@
@still in brain@|@nyang nyu nai sa mong, nyang nyu nai sa mong@
@still in the heart@|@nyang nai chay@
@still inside@|@nyang nyu nai@
@still kept in confidence@|@nyang nai chay@
@still more@|@khao erk@
@still not@|@nyang bor@
@still not arrived@|@nyang bor than na hot@
@still not clean@|@nyang bor sa at@
@still not completed@|@nyang bor than leow@
@still not dry@|@nyang bor haeng theu@
@still not enough@|@nyang bor phor@
@still not finished@|@nyang bor than hot@
@still not going@|@nyang bor than phai@
@still not left@|@nyang bor than phai@
@still not right@|@nyang bor ta lort@
@still ntot coming@|@nyang bor than na hot@
@still outside@|@nyang nyu nok@
@still pretty@|@nyang ngam nyu@
@still sick@|@nyang chep nyu@
@still thinking about@|@nyang khit hot nyu@
@still thinking of@|@nyang khit hot ha@
@still unable to think of the result@|@nyang khit bor aok@
@still unforgotten@|@nyang bor lerm@
@still wet@|@nyang piek nyu@
@still yet@|@nyang nyu tlot ma, nyang nyu tlot ma@
@still young@|@nyak khai ni, nyang on@
@stilts@|@thok thek@
@sting@|@láy maeng ngord, pák pam, pák pam@
@sting ray@|@pa: far lay@
@stinginess@|@mat sa ri ya@
@stinging jellyfish@|@ka phun fai@
@stinging sea nettle@|@ka phun@
@stingy@|@bor pheu phae, khi niav, khi teut, khi thi, mak noy, yom say yom kin@
@stink@|@phery kin men, sōng kin men, sōng kin men, to lo@
@stink bug@|@meng kheng@
@stinking@|@nāo men, sâ:p, teu leu, thuy@
@stipulation@|@khor kam not@
@stir@|@kueng, kueng kvai, nyap, sā:y@
@stir rice to cool it@|@sā:y khao@
@stir up@|@ta vuan@
@stir up a mob@|@het hay kheng khor@
@stir up a quarrel@|@tham hay kert vi vat@
@stir up the fire@|@chu fai@
@stir up trouble@|@kuk kun@
@stirred@|@teun tua, tua@
@stirred or agitated lightly@|@nom nom@
@stirred or agitated stroungly@|@nuam nuam@
@stirring@|@thi sak suan@
@stirrup@|@phang tin, yuang an ma, yuang tin@
@stitch@|@kan nyip saev@
@stitch mark@|@hoy yip@
@stitch the lips of a corpse@|@mim sop@
@stock account@|@ban xi khang sin kha@
@stock food@|@sá som ar harn@
@stock weapons@|@sá som ar voud@
@stockade@|@lā nia:t, lám vieng, thi khum khang@
@stockade.@|@vā di:@
@stockings@|@thong thao nyao@
@stockings  socks@|@long thao@
@stocky@|@chu ku, khu lu, kom, por@
@stocky person@|@chao neu@
@stoical@|@chay kat@
@stolen article@|@khong lak@
@stolen object@|@khong lak ma@
@stolen property@|@khong chon@
@stomach@|@ka phor, ka phor a han, phon, phung, thong@
@stomach pains@|@phae thong@
@stomach rumble due to gas@|@thong hong@
@stone@|@khi hin, niv, sâ:ng xaeng, sĕ: lar, si lar@
@Stone@|@hae@
@Stone Age@|@nyuk hin@
@stone banana@|@kuay hin@
@stone block@|@ngon hin@
@stone floor@|@pheun hin@
@stone for@|@thay thot@
@stone lump@|@kon hin@
@stone mortar@|@khok hin@
@stony@|@pha lan@
@stool@|@tang@
@stoop@|@fup long, kong tua, nom, nyop@
@stop@|@bam bat, bon yut, cho, hang, leuk, leuk kan, ngot, nyok vai, pit, sá kod, thi yut, tut, xao, xao chang, xao chang, xao siay thert, xao siay thert, xao xa, xao yang, xao yang, yā, yang, yut, yut yon, yut yu@
@stop (of rain only)@|@ngat@
@stop a boat@|@chot heu@
@stop a hole@|@át hou@
@stop and pick up passengers@|@chot hop phu doy san@
@stop and rest@|@yu sao@
@stop at@|@yut yu@
@stop doing@|@xao hat, xao hed@
@stop halt@|@chot@
@stop informing@|@pit pa kat@
@stop it@|@xao xa@
@stop on's ears@|@át hou@
@stop over at@|@yut yu@
@stop permanently@|@nyu ti@
@stop short@|@pha nga, xángak, yut sa ngak@
@stop sign@|@pay lot mae, pay lot yon, pay lot yut@
@stop still@|@yut ning@
@stop temporarily@|@yut yang@
@stop the flow of blood@|@khat leut@
@stop thinking@|@phak sa mong@
@stop war@|@xao serk@
@stop work@|@leuk karn, xao viak, xao viek, yā kan, yut kan@
@stop working@|@yut hat kan@
@stop yearning for@|@tat a lay@
@stopper@|@may at, may don@
@stopping place@|@thi sua@
@stopping point@|@thi chot, thi yut@
@stop-press news@|@khao duann phi sat@
@storage fee@|@khā: kiep huk sa@
@store@|@han kha@
@store owener@|@ná:y hang@
@store up@|@mi vay@
@storehouse@|@lào, nyery, nyery@
@storey@|@xan@
@stories of Indra@|@sák ka ban@
@stork@|@nork nhang, nork nhar@
@storm@|@fà lom phon tok, lóm daeng, lóm pha nhu, mor la sum, pha yu@
@storm signal@|@săn nharn bork phay@
@stormy sea@|@tha le ba@
@story@|@ká tha, ka tha phan, ka tha sot la kor, leuang, nī nhai, nī phan, nī phon, nī tharn, phong sa va dan, tam nan, than@
@story of ancient times@|@pheun phang kon, pheun tae kao@
@story of the Buddha in previous incarnations as told in the Jataka tales@|@xa dok@
@story of the past@|@á dî:t ni tharn@
@story telling@|@pá ri nhai@
@storytelling@|@bor li yay@
@stout@|@heum, phi@
@stove@|@tua, tua phay@
@straighr road@|@thang seu@
@straight@|@dua, kong, thiang@
@straight ahead@|@kong phai@
@straight bob@|@phom ma@
@straight line@|@sên kong@
@straightedge@|@may ban that@
@straighten@|@yiat naeng@
@straighten down@|@ngery long@
@straighten the neck@|@xan khor@
@straighten up@|@nyop kheun@
@straightforwardly@|@lò:t@
@straightness@|@khuem seu@
@strain or sprain a muscle@|@khat yok@
@strained@|@teung khiat@
@strait@|@kiv, xerng@
@straite@|@xong khaep@
@strange@|@pá lard, paek, paek, paek pa lard, paek pa lard, pha leuk, pha leuk, phi kon, phi leuk, phi leuk thae thae, phi sa vong, tang, tang pa lat, vi chid@
@Strange@|@paek nar, paek nar@
@strange-appearing@|@tang na@
@Strange-looking@|@paek tar, paek tar@
@strangeness@|@khuem trang@
@stranger@|@buk khon phay nok, khon nok, khon paek na, khon paek na, khon tang thin, phu tang na, tang meung@
@stranger to the village@|@tang ban@
@Strange-sounding@|@paek hou, paek hou@
@strangle@|@bip khor, bip khor hay tay@
@strangulation@|@bip khor tay@
@strap@|@să:y hoy song@
@strapped sack@|@thong phay@
@stratagem@|@kon u bay, phe thu bay@
@strate of clouds@|@kip fai@
@strategic@|@nyut tha sat@
@strategic position@|@chout nyout tha sat@
@strategic road@|@tha non yot tha sat, tha non yot tha sat@
@strategy@|@kon la yut, nyu tha sat, nyut tha sat@
@strately@|@kon la yut@
@stratified@|@pen xan@
@Straw@|@feung@
@straw hook@|@khor khaiy@
@straw plaiting@|@phay ya@
@straw-stuffed@|@nyat pherng@
@stray unhusked grains of rice remaining in cooked rice@|@kak khao@
@stream@|@nā thi:, sae, si rar, tat, tha ra, than tha la, than tha ra, thang@
@stream bed@|@să:y nam@
@stream down@|@nong nam tar@
@stream of thought@|@ká sae neo khit@
@stream out@|@hua lay@
@streaming with blood@|@leuad lai nong@
@street@|@ma ra kha, phi thi, tha non, tha non, tha non sen thang, tha non sen thang, thang, vi thi@
@street sign@|@pay tha nan@
@street stall@|@han kha noy@
@street urchin@|@dek kang tha non@
@streets weeper@|@khon kuat tha non, khon kuat tha non@
@streetwalker@|@nying phae sa nya@
@strenght of vision@|@chak khu vi sai@
@strength@|@haeng@
@strength a peed@|@vé: kha@
@strength force@|@khuem khem khaeng@
@strengthen@|@dam, het hay nen phen kheun@
@strengthen by splicing@|@thap@
@streptocaulon tomentosum@|@xai song@
@stress@|@kan say kheung khvam ak son, nèn, nèn sieng@
@stretch@|@de, kha nyap kha nyay, nyeut, nyeut sen nyeut say, yang@
@stretch as far as the eye can reach@|@pheng khvang phay san@
@stretch one’s legs@|@nyeut khaeng nyeut kha@
@stretch one's legs@|@yiat kha@
@stretch or extend@|@kang kaen@
@stretch or spread the legs@|@kang kha@
@stretch out@|@nyeut aok@
@stretch out (body)@|@yiat@
@stretch out the hand@|@yiat meu@
@stretch out the leg@|@yian tin@
@stretch out the legs@|@thot kha@
@stretch physically@|@bit khing@
@stretch the arms@|@yian khaen@
@stretch the body@|@nyeut sen nyeut say@
@stretch the head forward to see better@|@nger@
@stretch the neck to see better@|@nyor khor@
@stretched cord or wire@|@phiak@
@stretched out@|@teung ork@
@stretcj@|@neng@
@strew@|@thim hia hvay@
@strict@|@det, khem nguat@
@strict rigid@|@kheng, kheng khat@
@strict severe@|@khat  kheng@
@stride@|@nyong@
@strike@|@pá tha, pha xern, thap thi, ti@
@strike a flint@|@toy lek phay@
@strike a light@|@toy kap phay@
@strike a sharp blow@|@khok@
@strike an average@|@ti sa liay@
@strike cymbals@|@top@
@strike noon gong@|@ti phen@
@strike out the name of@|@khat seu ork@
