@Mam Todos Santos@|@English@
@tx'amsal@|@to allow food to go bad, to make something become acidic (The water must be acidic before drinking it)@
@tx'an@|@to excrete, defecate@
@tx'anaj@|@a piece of food@
@tx'anajil@|@to cut, to divide something with a sharp instrument, to chop meat without cooking it@
@tx'anin@|@vinegar@
@tx'anli@|@for a piece of meat to be lying somewhere@
@tx'anxlitz@|@shamrock@
@tx'aqb'al@|@to suspend or stop in the middle of a task, to leave a job unfinished@
@tx'attx'aj@|@dirty@
@tx'ayajeb'il@|@to go about looking slovenly with long hair and dirty and torn clothing@
@tx'ayajlab'il@|@to go bouncing around like something that has no value (The thieves made the poor man bounce), to go around with dirty and torn clothing@
@tx'ayli@|@to be lying about like something of no value, for a place to be disorderly with things thrown about everywhere@
@tx'e'l@|@toasted@
@tx'e'lsa@|@toast@
@tx'e'man@|@cut@
@tx'e'mankaya@|@a command meaning 'you cut' (tx'e'ma 'cut' n 'directional suffix' ka 'imperative marker which makes this a command' -ya 'second person singular suffix meaning 'you')@
@tx'e'manmaj@|@cut@
@tx'eb'aj@|@pointed tooth located between the incisors and molars of humans and mammals, eye teeth@
@tx'ee'mankaya@|@you cut it down (this is a command)@
@tx'eky eb'aj@|@eye tooth@
@tx'ekyix@|@swordfish@
@tx'em@|@to cut @
@tx'emal@|@to cut@
@tx'emat@|@was cut (cut with the passive marker -at)@
@tx'emb'en@|@the cut@
@tx'emb'il@|@ax, machete, means or instrument that is used to cut wood or plants@
@tx'emil@|@to cut a tree or plant with machete or ax, to cut something with force rapidly and intentionally with something sharp (I cut the snake in half with my hoe)@
@tx'eqjil@|@to emit a sound equal to that made by a setting hen when someone grabs her wings@
@tx'ex@|@loan@
@tx'exb'il@|@to change, to exchange@
@tx'exol@|@borrow or lend money or spice (substance or extract that is added in small amounts to food to give it more flavor - I borrowed a piece of unrefined sugar to sweeten our coffee)@
@tx'i'l@|@bread (buns etc), toasted@
@tx'i'lil@|@to toast@
@tx'i'lsal@|@to toast, to make something get hard@
@tx'i'lsb'il@|@oven, sauce pan@
@tx'i'lsil@|@to toast, to make something get hard@
@tx'i'txuk@|@porcupine@
@tx'i'x@|@thistle, thorn@
@tx'ikajlab'il@|@to walk stiffly erect with an air of superiority@
@tx'ikb'ab'il@|@means or instrument that is used to leave something very erect (such as a stake or post)@
@tx'ikb'al@|@to plant a stake or something erect or vertically@
@tx'ikeb'il@|@to stop vertically@
@tx'ikikin@|@to move about in a erect and haughty way@
@tx'ikin@|@to move about slowly and very straight@
@tx'ikinjeb'il@|@to walk slowly in a stiff and haughty way@
@tx'ikl@|@pierce, puncture@
@tx'ikli@|@standing vertically, to be planted (Meet me where the stake is planted)@
@tx'ikypil@|@to make a hole in, to pierce, this word focuses on the object itself, to pierce with sharp pointed small objects (I got a sliver in my hand) @
@tx'ilil@|@to fry, to brown foods@
@tx'ilsil@|@to fry@
@tx'inb'il@|@instrument used to compact a surface@
@tx'inil@|@to hammer@
@tx'inol@|@to hit someone with your fist, to compact a surface, crush, grind, pound, break, this word emphasizes the breaking or crushing that comes from pounding something@
@tx'inonatob'@|@rivet (noun)@
@tx'itpaj a'@|@for water to splash (up or out etc)@
@tx'ix@|@thorn, spine@
@tx'ixew@|@shame, embarrassment@
@tx'ixpi'b'l@|@difference, contrast, variance@
@tx'ixpil@|@to change places, to alter, to move, to change, to interchange, to swap, barter@
@tx'ixpul@|@change place, move, vacate, replace, change@
@tx'ixwil@|@to embarrrass, to be ashamed to@
@tx'iyan@|@dog@
@tx'jo'n@|@washed@
@tx'jol@|@to wash@
@tx'le'j@|@hairless@
@tx'naj@|@piece, a deep smooth cut made with some type of instrument for cutting@
@tx'najil@|@to cut, to divide something with a sharp instrument, to chop meat without cooking it@
@tx'najiles@|@to cut meat without chopping it finely@
@tx'nob'il@|@hammer@
@tx'nol@|@crush, grind, pound, break, this word emphasizes the breaking or crushing that comes from pounding something@
@tx'nol saqpwaq@|@silversmith@
@tx'olb'ab'il@|@explanation, report, story@
@tx'olb'al@|@to clarify, to explain@
@tx'om@|@acidic, rotten, sour, bitter, acid@
@tx'om qan@|@quince@
@tx'omal k'u'j@|@acid stomach@
@tx'omb'il@|@lime (or perhaps a lemon)@
@tx'oqtx'ol@|@to bubble@
@tx'otx'@|@earth, land, piece of land that can be cultivated, liver@
@tx'otx'an@|@made of earth@
@tx'otx'il@|@material (for), material that is used to make something (thread or mud or sticks etc - in other words material that is destined to make a particular thing)@
@tx'owb'aj@|@shelter (for protection against the elements)@
@tx'oyol@|@an edible mushroom@
@tx'u'j@|@bad tempered, crazy, wild@
@tx'u'jb'an@|@at full speed@
@tx'u'jil@|@uncontrolled anger that is agressive and violent, to get angry, to go crazy with anger@
@tx'u'jnil@|@uncontrolled anger that is agressive and violent, to get angry, to go crazy with anger@
@tx'u'k@|@corner@
@tx'u'k ch'ok@|@pickaxe@
@tx'uj@|@anger, crazy, nopal, prickly pear@
@tx'ujil@|@anger, abstract noun that refers to the anger or annoyance of someone, someone's rage@
@tx'ujt@|@flee@
@tx'ujtel@|@to get drunk@
@tx'ujtenil@|@drunk, inebriated@
@tx'ujtil@|@to get drunk@
@tx'ujtinel@|@drunk (a drunk person)@
@tx'ujtsal@|@to get someone drunk, to give hard liquor to someone on purpose (They got me drunk so that I wouldn't notice when they left)@
@tx'uk@|@inside or outside corner@
@tx'ukutxa'n@|@rhino@
@tx'uljil@|@to drip@
@tx'ultx'ul@|@to spring forth, when the water comes up out of the ground@
@tx'um@|@leaves cut from the cornstalks when the crop is putting out plenty of leaves before it blooms (they will be bundled and dried and used later to wrap tamalitos)@
@tx'umix@|@to wither, to wilt@
@tx'util@|@to talk without stopping (The men spent the whole night talking)@
@tx'utx'@|@barn, granary@
@tx'utx'b'il tuja@|@household goods store@
@tx'utx'bil@|@place to keep corncobs@
@tx'utx'il@|@place where something is kept in a compact or pressed form, to keep things that are compact, to press corncobs@
@tx'utx'j@|@something that is very enjoyable, the pain caused by a hard blow that is sarcasticly referred to as something very enjoyable (The kick I gave you in the buttox was exquisite)@
@tx'uyb'al@|@to pile up@
@tx'uyb'il@|@means or instrument that is used to destroy something@
@tx'uyil@|@to destroy@
@tx'uyli@|@piled up, many things that form a bundle but that are piled up@
@tx'uyu'j@|@heap, varias things placed in one heap@
@tx'x@|@green@
@tx'yan@|@dog, person that is bad and always takes advantage of any situation for personal gain@
@tx'yol@|@generic name for different kinds of mushrooms, poisonous mushroom@
@tx ab'aj@|@skin@
@txa'@|@excrement, poop@
@txa'j@|@excrement, waste matter excreted from the bowels@
@txa'k@|@scar, closed wound@
@txa'l@|@to defecate, to excrete waste matter from the bowels, to evacuate the bowels, using this word is considered to be more vulgar than k'u'jil@
@txa'mb'aj@|@nose@
@txa'n te ox@|@diamond shape figure filled with a different color than the outside used to decorate huipiles and skirts of San Ildefonso Ixtahuacan Guatemala@
@txa'namaj@|@lace (decoration for sewing)@
@txa'nb'aj@|@mucus (from the nose aka snot), nose@
@txa'nq'e'l@|@coal, charcoal@
@txa'q'@|@crunch (sound), the action of crunching a flea@
@txa'x@|@immature fruit, green fruit, tender@
@txa'x a'jin@|@type of green fly that is attracted to any bad odor or rotten meat@
@txa'xil@|@the green portion of something (The green of plantain leaves is different than the green of avocado leaves), damp part of the dirt@
@txa'xq'otj@|@masa (dough)@
@txa ab'aj@|@pebble@
@txa atz'an@|@pork rind, pork cracklings@
@txa che'w@|@frozen, ice cream, congealed, frost-bitten, icy, frigid@
@txa u'j@|@confetti@
@txa uk'@|@nit@
@txa wech@|@blackberry@
@txab'@|@handful, fistful, small quantity of something@
@txab'an@|@bit (a small piece or quantity of something), small amount of something@
@txache'w@|@a slushee style beverage made with crushed or shaved ice, snow@
@txajan@|@dry, skinny, thin@
@txajb'aya@|@your shoe@
@txajil@|@to come from there to here, to come from there (can be used figuratively as in his anger came), to arrive, to come back, came, intransitive verb from which the directional tzaj (to come from there to here) is derived@
@txajin@|@dry@
@txak'@|@a disrespectful way to refer to a tall and slender person, abrasive, coarse, rigid, rough, spider with long legs, stiff, the way some animals fall on all four feet (The cat fell standing up when he fell from the table)@
@txak'a'ch@|@object that has long legs (The fishermen caught crabs with large legs)@
@txak'a'j@|@animals with long legs turned on their backs with their feet up (When I got up there were lots of coackroaches dead with their feet up because of the poison I put out)@
@txak'ajlab'il@|@to carry someone with their legs upwards (They carried the thief feet up in the hands of the people)@
@txak'ak'an@|@to move someone with the legs upwards (The people took the man out carrying him with his feet up because they had gotten mad at him)@
@txak'b'al@|@to place an animal or a person legs up (If we put a May Beetle legs up it can't turn itself upright)@
@txak'li@|@to be with legs upwards (The turtle was legs up when I found it in the grass)@
@txak'paj@|@to throw out something, to fall backwards, this word describes a throwing or falling that is not as violent as kachpil@
@txak'pil@|@to throw out something, to fall backwards, this word describes a throwing or falling that is not as violent as kachpil@
@txak'pu-@|@push someone who is standing@
@txak'pul@|@intentionally place something legs upwards (I turned over the crab so it wouldn't run off)@
@txakajlab'il@|@to crawl, to crawl around, to go around touching things@
@txakb'al@|@to park a vehicle, to place a person on his extremities, to place something on its feet@
@txakb'et@|@to build, to construct@
@txakb'il@|@to assemble (They put together the table piece by piece)@
@txakil@|@to crawl@
@txakli@|@parked@
@txakol@|@to call, to invite@
@txakon@|@to call@
@txal@|@lying down, to fall on ones side (My woman rested on her side cuddled up to my back), to one side (positional root meaning to one side)@
@txal-@|@to one side (this is a positional root)@
@txal q'aq'@|@ember, live coals (There were a lot of embers left where the trees burned)@
@txalajlab'il@|@to continually and repeatedly on place yourself on your side@
@txalalal@|@to tilt, to tip, to walk tilted (The man bent forward as he walked away with the load strapped to his back)@
@txalalan@|@sideways, tilted, to walk tilted (Her load was so heavy she walked tilted to one side)@
@txalb'a@|@put to one side@
@txalb'al@|@to place someone on their side@
@txalch@|@tilted@
@txalchi@|@to be lying on one's side@
@Txalchi@|@to be lying down on (its his her) side@
@txalchiqe@|@they are lying on their sides@
@txalchiqeye@|@you are lying on your sides (speaking to more than one person)@
@txalchiqine@|@I am lying on my side@
@txalchiqo'@|@we (including the speaker) are lying on our sides@
@txalchiqo'ye@|@we (excluding the speaker) are lying on our sides@
@txalchiya@|@you are lying on your side@
@txale'@|@deviate, go or place one's self to one side, go to one side, place one's self to one side, put to one side, to go wrong, to lose your way whether physically morally or spiritually, to make a mistake, to place something or someone sideways or tilted (He leaned the board against the wall), turn aside@
@txaleb'il@|@to lie down on one's side@
@txalil@|@to tilt, to tip, to walk tilted (The man bent forward as he walked away with the load strapped to his back)@
@txalpil@|@to place something or someone sideways or tilted (He leaned the board against the wall), to lose your way whether physically morally or spiritually, to make a mistake, to go wrong, deviate, turn aside@
@txam@|@fat, grease (from fat)@
@txaman@|@lubricant, oil@
@txamanil@|@fat, margerine@
@txamb'aj@|@nose@
@txan@|@chayote squash@
@txan q'a'l@|@charcoal@
@txanb'aj@|@nose@
@txanin@|@grasshopper@
@txapo ich@|@chiltepe pepper (a small red pepper that is very hot)@
@txaq@|@leaf, light bulb@
@txaq u'j@|@paper@
@txaqb'il@|@flashlight, hand-held examination light (to look in the nose or ears etc), lantern, utensil to light the streets consisting of an electric or gas light sustained on a pole@
@txaqet@|@to light@
@txaqil@|@its whiteness@
@txaqol@|@to light, to light afire (He lit the book on fire), turn on, verb used for any action of illuminating something, verb used for any action of illuminating something (Turn the light on will you)@
@txat@|@drop@
@txatjneb'il@|@to drip@
@txatz'a'n@|@sand@
@txatz'is@|@garbage, trash@
@txaw@|@abrasive, coarse, quality that new or recently made woven materials have (Wash the woven skirt to soften the fabric), rough@
@txaxal@|@passion fruit@
@txb'akal@|@steam@
@txb'alanil xnoq'al@|@sheet@
@txb'alanilja@|@curtain@
@txb'ukxil@|@vapor@
@txe@|@at the bottom, under@
@txe'@|@its root@
@txe eyb'aj@|@gums@
@txe kya'j@|@dawn@
@txe qanb'aj@|@heel@
@txe xjab'@|@heel (of a shoe or boot)@
@txejil@|@to hit someone one with quick whack@
@txel eyb'aj@|@dentures, false teeth@
@txeljub'@|@Qetzaltenango@
@txetxan@|@chayote root@
@txewkan@|@rainbow@
@txexkyinb'aj@|@temple (of the head)@
@txhalb'a@|@to cause to lean to one side@
@txhale'@|@to lean to one side@
@txhb'umb'ujil@|@the dampness or humidity of something@
@txhchu's ich'@|@false flower of death (flower of death may be the marigold but the false flower of death stinks)@
@txhchus@|@the heel of the foot (the part that you walk on)@
@txhi@|@sweet@
@txhi'@|@blood@
@txhik'ul@|@forest@
@txhk'li'kil@|@abstract noun that refers to the thin part of something@
@txhkonkil@|@the stupidity of a person@
@txhkyin ja@|@corner of the house (outside corner)@
@txhkyin k'il@|@a shrubby plant called 'blood of Christ' with small purple flowers and berry-like fruit@
@txhkyin xhiky@|@medicional plant used to prevent scarring that grows on land that has been cultivated@
@txhli'qil@|@the thin part of something@
@txhnu'lil@|@clean part of something@
@txhuq'al tx'otx'@|@earthworm@
